Department for Transport statistics,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,
Table TAXI0104 [2013 data],,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2013 1",,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,Number
,,,,,Licensed taxis and taxi drivers,,,,,Private hire vehicles (PHVs),,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis 4,"Other 
taxis 4","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs 5,"Vehicle licences 
issued","Operator 
licences 
issued",PHV only Licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
E07000227,,,Horsham,,1,48,49,20,,2,129,43,155,,41,216,178
E07000228,,,Mid Sussex,,31,123,154,227,,1,176,61,260,,0,487,330
E07000229,,,Worthing,,19,52,71,81,,8,217,28,207,,5,293,288
E06000043,,Brighton and Hove,,,168,377,545,"1,199",,37,432,71,578,,0,"1,777",977
E10000011,,East Sussex,,,60,658,718,464,,..,"1,070",193,408,,"1,393","2,265","1,788"
E07000061,,,Eastbourne,,20,84,104,78,,16,357,17,306,,116,500,461
E07000062,,,Hastings,,6,43,49,0,,42,262,27,0,,578,578,311
E07000063,,,Lewes,,20,224,244,298,,35,53,7,74,,10,382,297
E07000064,,,Rother,,11,98,109,88,,..,38,27,28,,10,126,147
E07000065,,,Wealden,,3,209,212,0,,1,360,115,0,,679,679,572
E06000046,,Isle of Wight,,,63,124,187,0,,0,45,19,0,,312,312,232
E12000009,South West,,,,"1,864","4,627","6,491","3,429",,411,"6,867","1,696","5,567",,"7,387","16,383","13,358"
E10000013,,Gloucestershire,,,53,535,588,6,,75,813,211,691,,822,"1,519","1,401"
E07000078,,,Cheltenham,,19,185,204,0,,0,207,29,149,,291,440,411
E07000079,,,Cotswold,,2,75,77,0,,4,61,48,26,,127,153,138
E07000080,,,Forest of Dean,,6,57,63,0,,12,27,12,0,,139,139,90
E07000081,,,Gloucester,,24,106,130,0,,7,278,35,261,,127,388,408
E07000082,,,Stroud,,2,110,112,0,,2,92,55,82,,138,220,204
E07000083,,,Tewkesbury,,0,2,2,6,,50,148,32,173,,0,179,150
E06000022,,Bath and North East Somerset,,,20,155,175,0,,3,347,85,0,,642,642,522
E06000023,,"Bristol, city of",,,752,0,752,854,,..,928,56,967,,0,"1,821","1,680"
E06000025,,South Gloucestershire,,,25,285,310,246,,10,133,46,121,,133,500,443
E06000024,,North Somerset,,,2,121,123,0,,9,401,56,528,,157,685,524
E06000030,,Swindon,,,93,43,136,180,,0,698,36,777,,0,957,834
E06000054,,Wiltshire,,,86,542,628,84,,57,259,104,144,,827,"1,055",887
E06000052,,Cornwall,,,105,627,732,400,,..,433,204,357,,697,"1,454","1,165"
E06000026,,Plymouth,,,367,0,367,436,,..,790,28,839,,0,"1,275","1,157"
E06000027,,Torbay,,,14,155,169,0,,18,325,332,0,,570,570,494
E10000008,,Devon,,,67,882,949,528,,25,479,141,223,,"1,064","1,815","1,428"
E07000040,,,East Devon,,5,154,159,204,,0,17,14,29,,0,233,176
E07000041,,,Exeter,,29,36,65,0,,10,269,32,139,,300,439,334
E07000042,,,Mid Devon,,4,52,56,0,,11,48,17,0,,126,126,104
E07000043,,,North Devon,,7,182,189,1,,2,15,15,0,,269,270,204
E07000044,,,South Hams,,5,128,133,152,,1,14,10,13,,1,166,147
E07000045,,,Teignbridge,,10,194,204,171,,1,58,29,42,,131,344,262
E07000046,,,Torridge,,4,45,49,0,,0,48,21,0,,128,128,97
E07000047,,,West Devon,,3,91,94,0,,0,10,3,0,,109,109,104
E10000027,,Somerset,,,180,490,670,159,,18,265,144,34,,980,"1,173",935
E07000187,,,Mendip,,13,168,181,0,,5,117,52,0,,354,354,298
E07000188,,,Sedgemoor,,46,58,104,158,,6,28,11,34,,0,192,132
E07000189,,,South Somerset,,11,170,181,0,,1,65,35,0,,323,323,246
E07000190,,,Taunton Deane,,101,65,166,0,,4,35,30,0,,241,241,201
E07000191,,,West Somerset,,9,29,38,1,,2,20,16,0,,62,63,58
E06000028,,Bournemouth,,,47,202,249,282,,19,286,38,317,,369,968,535
E06000029,,Poole,,,15,65,80,0,,7,177,77,86,,311,397,257
E10000009,,Dorset,,,38,525,563,254,,36,533,138,483,,815,"1,552","1,096"
E07000048,,,Christchurch,,4,114,118,0,,3,39,19,31,,243,274,157
E07000049,,,East Dorset,,2,50,52,0,,5,115,28,137,,73,210,167
E07000050,,,North Dorset,,0,98,98,57,,..,92,25,65,,98,220,190
E07000051,,,Purbeck,,4,51,55,0,,0,20,12,0,,139,139,75
E07000052,,,West Dorset,,21,139,160,65,,18,87,37,26,,262,353,247
E07000053,,,Weymouth and Portland,,7,73,80,132,,10,180,17,224,,0,356,260
,Wales,,,,"1,430","3,508","4,938",920,,394,"4,022",716,"1,311",,"9,460","11,691","8,960"
W06000019,,,Blaenau Gwent,,10,133,143,206,,..,6,4,10,,0,216,149
W06000013,,,Bridgend,,40,333,373,0,,25,72,25,0,,614,614,445
W06000018,,,Caerphilly,,10,250,260,0,,13,147,34,0,,554,554,407
W06000015,,,Cardiff,,557,400,957,0,,..,833,32,0,,"2,000","2,000","1,790"
W06000010,,,Carmarthenshire,,29,291,320,0,,12,85,33,0,,535,535,405
W06000008,,,Ceredigion,,11,138,149,0,,5,28,4,0,,253,253,177
W06000003,,,Conwy,,19,59,78,78,,0,97,44,144,,78,300,175
W06000004,,,Denbighshire,,20,220,240,0,,10,80,18,63,,340,403,320
W06000005,,,Flintshire,,5,0,5,0,,34,325,97,0,,440,440,330
W06000002,,,Gwynedd,,35,179,214,0,,..,127,38,0,,475,475,341
W06000024,,,Merthyr Tydfil,,12,140,152,230,,6,45,19,105,,62,397,197
W06000021,,,Monmouthshire,,4,115,119,0,,6,84,33,0,,275,275,203
W06000012,,,Neath Port Talbot,,86,169,255,350,,0,20,11,40,,0,390,275
W06000022,,,Newport,,138,0,138,2,,12,434,27,528,,142,672,572
W06000009,,,Pembrokeshire,,10,233,243,0,,2,18,11,0,,308,308,261
W06000023,,,Powys,,11,217,228,0,,15,263,81,0,,624,624,491
W06000016,,,Rhondda Cynon Taf,,64,297,361,0,,110,167,63,0,,728,728,528
W06000011,,,Swansea,,311,107,418,0,,0,383,25,0,,"1,096","1,096",801
W06000020,,,Torfaen,,9,41,50,0,,14,171,17,0,,306,306,221
W06000014,,,The Vale of Glamorgan,,1,116,117,0,,13,163,28,0,,385,385,280
W06000006,,,Wrexham,,36,0,36,54,,17,419,46,421,,0,475,455
W06000001,,,Isle of Anglesey,3,12,70,82,0,,..,55,26,0,,245,245,137
,ENGLAND,,,,"43,907","29,116","73,023","62,243",,"4,334","148,559","15,360","154,121",,"68,847","285,211","221,582"
,ENGLAND AND WALES,,,,"45,337","32,624","77,961","63,163",,"4,728","152,581","16,076","155,432",,"78,307","296,902","230,542"
"1  Where a licensing authority did not provide a return for the 2013 survey, a figure from a previous return is used",,,,,,,,,,,,,,,,,
"2  TfL is the licensing authority in London. PHV driver licensing by TfL began in April 2003, with vehicle licensing in April 2004.",,,,,,,,,,,,,,,,,
3  Some or all figures for this authority are based on a return made in a previous year as a complete return was not provided in 2013.,,,,,,,,,,,,,,,,,
4  Where authorities were unable to provide the number of wheelchair accessible taxis an estimate has been made by DfT based on information provided in previous years,,,,,,,,,,,,,,,,,
"5  This information was collected for the first time in 2011.  Where an authority did not provide a return, this is indicated by '..'  Regional totals are estimates produced by scaling responses provided and ",,,,,,,,,,,,,,,,,
will therefore not equal the sum of the figures for constituent authorities in this table.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,,,,,,,,,Source: Taxi Licensing Authorities
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,Last updated: August 2015
,,,,,,,,,,,,,,,,,Next update: TBC
