Department for Transport statistics,,,,,,,,,,,,,,,,,,
Taxi Statistics (https://www.gov.uk/government/organisations/department-for-transport/series/taxi-statistics),,,,,,,,,,,,,,,,,,
Table TAXI0104,,,,,,,,,,,,,,,,,,
"Taxis, Private Hire Vehicles (PHVs) and their drivers: England and Wales by licensing area, 31 March 2017 1",,,,,,,,,,,,,,,,,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,,,,,,,,
,,,,,Licensed taxis and taxi drivers,,,,,Licensed private hire vehicles (PHVs) and drivers,,,,,,,,
LA code,Licensing Authority,,,,Wheelchair accessible taxis ,"Other 
taxis ","Total 
taxis",Taxi only licensed drivers,,Wheelchair accessible PHVs,"Other 
PHVs ","Total 
PHVs","Operator 
licences 
issued",PHV only licenced Drivers,,Dual taxi/PHV driver licences,"Total 
driver 
licences 
issued",Total licensed vehicles
,,,,,,,,,,,,,,,,,,
E07000211,,,Reigate and Banstead,,36,69,105,0,,30,870,900,90,"1,151",,132,"1,283","1,005"
E07000212,,,Runnymede,,3,135,138,0,,6,72,78,21,76,,150,226,216
E07000213,,,Spelthorne,,1,71,72,0,,32,53,85,23,81,,72,153,157
E07000214,,,Surrey Heath,,3,121,124,0,,2,87,89,39,99,,129,228,213
E07000215,,,Tandridge,,1,128,129,153,,2,44,46,19,35,,0,188,175
E07000216,,,Waverley,,5,211,216,0,,3,77,80,52,53,,266,319,296
E07000217,,,Woking,,95,57,152,0,,19,541,560,71,461,,291,752,712
E06000035,,Medway,,,11,512,523,510,,21,254,275,46,452,,0,962,798
E10000016,,Kent,,,324,"1,523","1,847",955,,247,"1,785","2,032",675,"2,028",,"1,795","4,778","3,879"
E07000105,,,Ashford,,17,81,98,0,,98,0,98,53,166,,186,352,196
E07000106,,,Canterbury,,34,183,217,213,,15,203,218,76,292,,110,615,435
E07000107,,,Dartford,,93,128,221,63,,0,105,105,105,105,,53,221,326
E07000108,,,Dover,,6,63,69,0,,15,110,125,31,10,,271,281,194
E07000109,,,Gravesham,,24,136,160,0,,1,31,32,17,22,,184,206,192
E07000110,,,Maidstone,,48,0,48,31,,8,228,236,62,291,,70,392,284
E07000111,,,Sevenoaks,,6,198,204,225,,9,103,112,61,126,,0,351,316
E07000112,,,Shepway,,17,192,209,172,,2,66,68,42,84,,53,309,277
E07000113,,,Swale,,36,166,202,0,,16,42,58,41,0,,445,445,260
E07000114,,,Thanet,,13,95,108,123,,44,377,421,39,508,,0,631,529
E07000115,,,Tonbridge and Malling,,7,197,204,128,,32,366,398,75,424,,164,716,602
E07000116,,,Tunbridge Wells,,23,84,107,0,,7,154,161,73,0,,259,259,268
E10000032,,West Sussex,,,151,602,753,647,,32,"1,602","1,634",268,"1,622",,370,"2,639","2,387"
E07000223,,,Adur,,7,59,66,80,,2,98,100,14,112,,0,192,166
E07000224,,,Arun,,3,239,242,0,,4,24,28,12,9,,300,309,270
E07000225,,,Chichester,,44,0,44,26,,10,242,252,61,232,,30,288,296
E07000226,,,Crawley,,50,73,123,206,,1,664,665,26,665,,0,871,788
E07000227,,,Horsham,,1,50,51,19,,5,144,149,52,205,,40,264,200
E07000228,,,Mid Sussex,,30,124,154,231,,4,223,227,72,299,,0,530,381
E07000229,,,Worthing,,16,57,73,85,,6,207,213,31,100,,0,185,286
E06000043,,Brighton and Hove,,,257,308,565,94,,60,407,467,38,565,,"1,051","1,710","1,032"
E10000011,,East Sussex,,,44,596,640,227,,93,"1,121","1,214",159,126,,"1,781","2,134","1,854"
E07000061,,,Eastbourne,,24,88,112,0,,7,410,417,18,0,,545,545,529
E07000062,,,Hastings,,2,46,48,0,,15,297,312,25,0,,534,534,360
E07000063,,,Lewes,,9,203,212,227,,53,79,132,15,126,,41,394,344
E07000064,,,Rother,,4,104,108,0,,11,35,46,19,0,,155,155,154
E07000065,,,Wealden,,5,155,160,0,,7,300,307,82,0,,506,506,467
E06000046,,Isle of Wight,,,81,123,204,0,,5,47,52,19,0,,317,317,256
,,,,,,,,,,,,,,,,,,
E12000009,South West,,,,"1,868","4,579","6,447","3,742",,410,"7,775","8,185","1,707","6,620",,"6,816","17,178","14,632"
E10000013,,Gloucestershire,,,75,521,596,409,,121,874,995,248,883,,387,"1,679","1,591"
E07000078,,,Cheltenham,,47,182,229,297,,4,191,195,33,117,,0,414,424
E07000079,,,Cotswold,,1,110,111,0,,1,100,101,57,71,,126,197,212
E07000080,,,Forest of Dean,,3,31,34,0,,9,59,68,25,34,,123,157,102
E07000081,,,Gloucester,,17,82,99,106,,19,277,296,30,278,,0,384,395
E07000082,,,Stroud,,3,116,119,0,,2,94,96,58,76,,138,214,215
E07000083,,,Tewkesbury,,4,0,4,6,,86,153,239,45,307,,0,313,243
E06000022,,Bath and North East Somerset,,,21,136,157,0,,7,369,376,82,0,,644,644,533
E06000023,,"Bristol, city of",,,742,0,742,816,,0,"1,015","1,015",55,"1,052",,0,"1,868","1,757"
E06000025,,South Gloucestershire,,,21,275,296,175,,21,477,498,58,444,,195,814,794
E06000024,,North Somerset,,,6,113,119,0,,12,486,498,64,582,,152,734,617
E06000030,,Swindon,,,83,40,123,157,,10,885,895,39,926,,0,"1,083","1,018"
E06000054,,Wiltshire,,,57,611,668,0,,62,180,242,107,149,,943,"1,092",910
E06000052,,Cornwall,,,68,558,626,418,,25,493,518,179,460,,775,"1,653","1,144"
E06000026,,Plymouth,,,357,0,357,392,,12,823,835,41,838,,0,"1,230","1,192"
E06000027,,Torbay,,,12,150,162,0,,24,289,313,317,0,,532,532,475
E10000008,,Devon,,,72,944,"1,016",375,,28,582,610,137,188,,"1,253","1,816","1,626"
E07000040,,,East Devon,,8,159,167,204,,2,15,17,16,22,,5,231,184
E07000041,,,Exeter,,38,38,76,0,,9,352,361,38,109,,375,484,437
E07000042,,,Mid Devon,,4,72,76,0,,12,34,46,10,0,,121,121,122
E07000043,,,North Devon,,3,212,215,1,,5,30,35,16,8,,263,272,250
E07000044,,,South Hams,,4,126,130,0,,0,13,13,9,0,,153,153,143
E07000045,,,Teignbridge,,7,205,212,170,,0,69,69,26,49,,102,321,281
E07000046,,,Torridge,,4,45,49,0,,0,59,59,19,0,,131,131,108
E07000047,,,West Devon,,4,87,91,0,,0,10,10,3,0,,103,103,101
E10000027,,Somerset,,,244,430,674,130,,13,325,338,155,26,,962,"1,118","1,012"
E07000187,,,Mendip,,4,166,170,0,,2,106,108,42,0,,309,309,278
E07000188,,,Sedgemoor,,55,58,113,130,,0,33,33,14,25,,16,171,146
E07000189,,,South Somerset,,32,122,154,0,,9,128,137,50,1,,336,337,291
E07000190,,,Taunton Deane,,138,64,202,0,,0,40,40,35,0,,239,239,242
E07000191,,,West Somerset,,15,20,35,0,,2,18,20,14,0,,62,62,55
E06000028,,Bournemouth,,,51,198,249,282,,17,264,281,38,319,,277,878,530
E06000029,,Poole,,,20,64,84,0,,11,152,163,58,70,,278,348,247
E10000009,,Dorset,,,39,539,578,588,,47,561,608,129,683,,418,"1,689","1,186"
E07000048,,,Christchurch,,4,101,105,260,,2,99,101,16,122,,0,382,206
E07000049,,,East Dorset,,2,51,53,74,,9,109,118,35,159,,0,233,171
E07000050,,,North Dorset,,2,79,81,124,,5,79,84,28,132,,0,256,165
E07000051,,,Purbeck,,5,77,82,0,,0,29,29,6,11,,175,186,111
E07000052,,,West Dorset,,20,157,177,30,,15,59,74,29,14,,243,287,251
E07000053,,,Weymouth and Portland,,6,74,80,100,,16,186,202,15,245,,0,345,282
,,,,,,,,,,,,,,,,,,
Wales,WALES,,,,"1,348","3,737","5,085",420,,204,"4,566","4,770",662,"1,248",,"9,851","11,519","9,855"
W06000019,,,Blaenau Gwent,,4,145,149,203,,0,5,5,3,6,,0,209,154
W06000013,,,Bridgend,,34,307,341,0,,14,72,86,25,0,,604,604,427
W06000018,,,Caerphilly,,14,285,299,0,,13,92,105,27,0,,457,457,404
W06000015,,,Cardiff,,545,401,946,0,,0,"1,289","1,289",89,0,,"2,321","2,321","2,235"
W06000010,,,Carmarthenshire,,31,322,353,0,,19,84,103,35,0,,583,583,456
W06000008,,,Ceredigion,,2,158,160,0,,1,27,28,14,0,,239,239,188
W06000003,,,Conwy,,46,74,120,0,,11,141,152,22,23,,189,212,272
W06000004,,,Denbighshire,,0,256,256,0,,0,75,75,15,39,,342,381,331
W06000005,,,Flintshire,,3,0,3,0,,26,312,338,64,0,,423,423,341
W06000002,,,Gwynedd,,40,276,316,0,,7,71,78,27,0,,497,497,394
W06000024,,,Merthyr Tydfil,,7,150,157,169,,6,51,57,18,49,,34,252,214
W06000021,,,Monmouthshire,,11,146,157,0,,12,94,106,32,0,,285,285,263
W06000012,,,Neath Port Talbot,,86,169,255,0,,0,37,37,20,0,,344,344,292
W06000022,,,Newport,,105,0,105,0,,15,645,660,28,709,,205,914,765
W06000009,,,Pembrokeshire,,12,196,208,0,,2,19,21,7,0,,335,335,229
W06000023,,,Powys,,20,162,182,0,,19,256,275,70,0,,537,537,457
W06000016,,,Rhondda Cynon Taf,,50,327,377,0,,21,103,124,47,0,,544,544,501
W06000011,,,Swansea,,288,112,400,0,,0,427,427,16,0,,"1,144","1,144",827
W06000020,,,Torfaen,,14,44,58,0,,10,155,165,15,0,,242,242,223
W06000014,,,The Vale of Glamorgan,,1,110,111,0,,11,162,173,28,0,,350,350,284
W06000006,,,Wrexham,,33,0,33,48,,13,407,420,44,422,,0,470,453
W06000001,,,Isle of Anglesey,,2,97,99,0,,4,42,46,16,0,,176,176,145
,,,,,,,,,,,,,,,,,,
,ENGLAND,,,,"43,531","32,018","75,549","60,333",,"4,433","201,047","205,480","14,571","217,030",,"78,916","356,279","281,029"
,,,,,,,,,,,,,,,,,,
,ENGLAND AND WALES,,,,"44,879","35,755","80,634","60,753",,"4,637","205,613","210,250","15,233","218,278",,"88,767","367,798","290,884"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"1  TfL is the licensing authority in London. PHV driver licensing by TfL began in April 2003, with vehicle licensing in April 2004.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Telephone: 020 7944 3094,,,,,,,,,,,,,,,,,,Source: Taxi Licensing Authorities
Email: bus.statistics@dft.gsi.gov.uk,,,,,,,,,,,,,,,,,,Last updated: 7 September 2017
,,,,,,,,,,,,,,,,,,Next update: Summer 2019
